file_name,text
video/6jiO0tPLK7U_000090/video.mp4,basketball bounce
video/cRlp5v9BHeE_000011/video.mp4,car passing by
video/asKuYgAcyIk_000030/video.mp4,car passing by
video/hO7Y77gKIMo_000150/video.mp4,raining
video/fYhJdb8ka3k_000030/video.mp4,typing on computer keyboard
video/oeNMiCqg9JA_000106/video.mp4,ripping paper
video/1NkUBIl2Plw_000030/video.mp4,raining
video/PuvTDLP8lwM_000030/video.mp4,typing on computer keyboard
video/1MP3sQTk8wo_000000/video.mp4,dog barking
video/HgSqmsr5GOQ_000030/video.mp4,fire crackling
video/QJDLZ53UsLk_000320/video.mp4,car passing by
video/ktLR-WjB_C8_000044/video.mp4,ripping paper
video/rXU4vJ4Rz4A_000032/video.mp4,footsteps on snow
video/vyYpxGJr7zI_000030/video.mp4,dog barking
video/ABs3qGwvW-U_000020/video.mp4,basketball bounce
video/3NRu3vNRFxU_000000/video.mp4,dog barking
video/g3eW5ca-DKw_000030/video.mp4,raining
video/xC-FE1l3Cxs_000368/video.mp4,footsteps on snow
video/AvEJZqK2G1A_000030/video.mp4,basketball bounce
video/7Qtr6D2TWBE_000350/video.mp4,typing on computer keyboard
video/EeGWe8e_2jg_000030/video.mp4,dog barking
video/V3srC9WNp4c_000030/video.mp4,door slamming
video/j42FvbZ2jjE_000851/video.mp4,ripping paper
video/dfwr8wgZU8M_000040/video.mp4,car passing by
video/yRBKGI1DjXc_000411/video.mp4,footsteps on snow
video/1B-RuZgSqf8_000030/video.mp4,raining
video/B98yOZSj2GE_000012/video.mp4,car passing by
video/0B7fwvTtvLM_000000/video.mp4,basketball bounce
video/j-bxcM-JXx4_000000/video.mp4,door slamming
video/ZqwS3tAXyAg_000450/video.mp4,basketball bounce
video/6Y3YoMGHufc_000340/video.mp4,typing on computer keyboard
video/dtjPWoaOz60_000450/video.mp4,ripping paper
video/dySzuSBqPnE_000040/video.mp4,ripping paper
video/LtYJXKeUMXA_000000/video.mp4,door slamming
video/hkr8KzMLwDA_000500/video.mp4,typing on computer keyboard
